open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712023200000,0.204070,0.204070,0.186810,0.191070,1737359819,1712026799999,336615914.922260,541939,803053746,155616236.831390,0
1712026800000,0.191090,0.193700,0.186170,0.188740,957782599,1712030399999,181015146.144450,316346,459573364,86882259.219370,0
1712030400000,0.188730,0.190710,0.186840,0.188640,423343360,1712033999999,79991371.116420,149993,210890195,39857734.682650,0
1712034000000,0.188650,0.189380,0.185000,0.189240,531629500,1712037599999,99428976.401010,170225,258036606,48284018.881790,0
1712037600000,0.189250,0.191800,0.188210,0.190080,373060717,1712041199999,70897135.661220,119071,189773038,36070664.918760,0
1712041200000,0.190080,0.190600,0.186370,0.186880,315166409,1712044799999,59352130.436740,101857,146885146,27669334.605980,0
1712044800000,0.186880,0.187950,0.181610,0.182770,718408567,1712048399999,132861398.479960,218636,318458048,58959700.168310,0
1712048400000,0.182760,0.186480,0.180030,0.185330,1003032187,1712051999999,184008119.454390,303282,494254396,90721284.187050,0
1712052000000,0.185330,0.185960,0.181740,0.184460,614451208,1712055599999,112966279.770020,193330,301846792,55502286.982530,0
1712055600000,0.184460,0.184970,0.180200,0.184530,639699073,1712059199999,116588627.711690,214678,317444926,57855280.914790,0
1712059200000,0.184530,0.187350,0.183490,0.184410,487881007,1712062799999,90432044.024660,162425,242442028,44944273.717990,0
1712062800000,0.184400,0.186800,0.180620,0.185220,795058585,1712066399999,145791809.900380,263447,392645259,72005438.614750,0
1712066400000,0.185220,0.190570,0.184880,0.187430,835405363,1712069999999,157371926.180430,244159,391775861,73797925.675680,0
1712070000000,0.187420,0.188780,0.180750,0.181540,702934616,1712073599999,130134269.810830,195281,330176029,61193221.279440,0
1712073600000,0.181560,0.186480,0.180810,0.185040,674510981,1712077199999,123888657.276280,210902,353042286,64854388.445940,0
1712077200000,0.185030,0.185920,0.183140,0.185420,309312946,1712080799999,57029786.339420,106872,158270036,29186260.157210,0
1712080800000,0.185400,0.188450,0.184160,0.187130,375680499,1712084399999,70021218.251470,131408,196217098,36574408.634390,0
1712084400000,0.187120,0.189290,0.186160,0.186630,356255586,1712087999999,66897529.644340,115511,172785090,32449673.722230,0
1712088000000,0.186630,0.187800,0.183810,0.184680,356244962,1712091599999,66160775.846810,117975,164392591,30540312.082440,0
1712091600000,0.184670,0.185320,0.181000,0.183810,355657838,1712095199999,65003210.640630,121061,175626064,32109130.092230,0
1712095200000,0.183810,0.185970,0.183150,0.185530,174280678,1712098799999,32181259.345960,77886,89843958,16589291.521660,0
1712098800000,0.185540,0.185620,0.182040,0.182600,224803917,1712102399999,41258451.960740,74317,106632975,19568609.155610,0
1712102400000,0.182590,0.184770,0.170950,0.177090,1576252069,1712105999999,279307098.424290,478473,711975206,126219447.458780,0
